"topic","type","notebooklm_prompt","youtube_desc"
"The AI Agent Gold Rush: Who Wins When Software Starts Working for You?","AI / Business","Create a 25 to 35 minute faceless explainer overview about the AI agent gold rush. Explain what agents are, why companies are racing to build them, the major players, business models, risks, and what this means for jobs and startups. Use a clear narrative arc, examples, counterarguments, and a strong ending.","AI agents are being pitched as the next platform shift after apps and search. This video breaks down what they are, why every tech company wants them, and who could win or lose."
"Why Everyone Is Building AI Data Centers","AI / Infrastructure","Create a long video overview explaining the AI data center boom. Cover GPUs, electricity demand, cloud providers, hyperscalers, financing, bottlenecks, local community impact, and whether the buildout resembles a bubble or a new industrial revolution.","AI needs more than clever software. It needs land, power, chips, water, and billions of dollars in data centers. Here is why the race is getting so intense."
"The Trillion Dollar AI Bubble Question","Finance / AI","Create a 30 minute explainer on whether AI investment is a bubble. Compare past tech bubbles with current AI spending, revenue expectations, chip demand, startup valuations, productivity gains, and signs investors should watch.","Is AI creating real wealth or inflating the biggest tech bubble in modern history? We compare the hype, the numbers, and the warning signs."
"How Nvidia Became the Most Important Company in the World","Tech / Business","Create a detailed long-form overview of Nvidia's rise. Explain GPUs, CUDA, gaming roots, data center dominance, AI demand, supply chains, competitors, and the risks facing the company.","Nvidia went from gaming graphics to the engine of the AI economy. This is the story of how one company became central to the future of tech."
"The Hidden War for AI Chips","Tech / Geopolitics","Create a long explainer about the global race for AI chips. Cover Nvidia, AMD, custom silicon, export controls, Taiwan, foundries, cloud providers, startups, and how chip access shapes national power.","AI is only as powerful as the chips behind it. This video explains the hidden geopolitical and business battle over the hardware that runs the future."
"Why AI Is Coming for White Collar Work First","AI / Jobs","Create a 25 to 35 minute overview of AI's impact on white collar jobs. Cover law, finance, marketing, coding, consulting, design, productivity tools, displacement risk, new roles, and how workers can adapt.","For decades automation mostly threatened physical labor. Now AI is moving into offices, inboxes, spreadsheets, and codebases. Here is what changes next."
"The End of Search as We Know It","AI / Internet","Create a long video overview explaining how AI answer engines could change search. Cover Google, OpenAI, Perplexity, publishers, SEO, ads, shopping, trust, hallucinations, and the future of web discovery.","Search built the modern internet. AI answer engines may rewrite how people find information, how websites make money, and how truth travels online."
"Will AI Destroy or Save Hollywood?","AI / Media","Create a 30 minute explainer on AI's impact on film and television. Cover scriptwriting, visual effects, dubbing, synthetic actors, labor disputes, copyright, indie creators, studios, and audience trust.","AI can generate scenes, voices, scripts, and entire worlds. Hollywood sees both a threat and a shortcut. This is the fight over the future of entertainment."
"The Rise of Synthetic Influencers","AI / Creator Economy","Create a long-form overview about AI influencers and virtual creators. Explain how they are made, why brands use them, monetization, fan psychology, ethics, disclosure, and what happens to human creators.","Some influencers do not sleep, age, travel, or even exist. This video explores the rise of AI personalities and why brands are paying attention."
"How AI Voice Cloning Became a Scam Machine","Cybersecurity / AI","Create a 25 to 35 minute explainer on AI voice cloning scams. Cover how the tech works, real-world scam patterns, family emergency fraud, business fraud, prevention, regulation, and future risks.","A few seconds of audio can now imitate a real person. Here is how voice cloning scams work, why they are spreading, and how to protect yourself."
"Why Robots Are Finally Leaving the Lab","Robotics / AI","Create a long video overview of the new robotics wave. Cover humanoid robots, warehouse automation, training data, simulation, foundation models, hardware costs, labor shortages, and realistic timelines.","Robots have been promised for decades. AI may finally give machines the ability to understand messy real-world tasks. But the road is harder than the demos."
"Humanoid Robots: Revolution or Expensive Demo?","Robotics / Business","Create a 30 minute balanced explainer on humanoid robots. Cover Tesla, Figure, Agility, Unitree, use cases, technical barriers, cost curves, safety, regulation, and whether humanoid form makes sense.","Humanoid robots look like science fiction entering the factory floor. This video asks whether they are the next smartphone moment or just very expensive theater."
"The Future of Work When Everyone Has an AI Assistant","AI / Productivity","Create a long overview of AI assistants in daily work. Explain email, scheduling, research, meeting notes, coding, customer support, privacy, management, productivity measurement, and workplace culture.","What happens when every employee has a tireless digital assistant? The answer could reshape productivity, privacy, and what it means to be good at your job."
"Why Open Source AI Matters","AI / Tech","Create a 25 to 35 minute explainer about open source AI. Cover model weights, community innovation, safety debates, national competitiveness, startups, big tech strategy, and the tension between openness and control.","Open source AI could democratize the most powerful technology of the decade, or make dangerous tools easier to misuse. This is the debate."
"The Battle for Your Personal AI","AI / Consumer Tech","Create a long video overview about personal AI companions and assistants. Cover smartphones, wearables, smart glasses, memory, privacy, mental health, monetization, and the companies fighting for the interface.","The next major platform may not be an app. It may be an AI that knows you, remembers you, and sits between you and the internet."
"Why Apple Is Under Pressure in the AI Era","Tech / Business","Create a long-form explainer on Apple's AI challenge. Cover iPhone dependence, privacy positioning, on-device AI, Siri, services revenue, developer ecosystem, competition, and possible paths forward.","Apple mastered hardware and ecosystems. But AI changes what users expect from devices, and the pressure on Apple is rising fast."
"The New Space Race Is About Satellites, Data, and War","Space / Geopolitics","Create a 30 minute overview of the modern space race. Cover Starlink, military satellites, launch costs, Earth observation, lunar ambitions, China, private space companies, and orbital risks.","Space is no longer just flags and moonshots. It is internet infrastructure, surveillance, defense, and a new layer of global power."
"Starlink and the Future of the Internet","Tech / Space","Create a long explainer about satellite internet and Starlink. Explain low Earth orbit networks, rural broadband, military uses, competition, regulation, space debris, pricing, and global impact.","Satellite internet is changing who can get online and who controls connectivity in a crisis. This is the story of Starlink and its rivals."
"The Quiet Race to Control Quantum Computing","Science / Tech","Create a 25 to 35 minute overview of quantum computing. Cover qubits, error correction, cryptography, drug discovery, finance, government funding, hype, and realistic milestones.","Quantum computing sounds like magic, but the race is very real. This video explains what it can do, what it cannot do yet, and why governments care."
"Quantum Computers vs Encryption","Cybersecurity / Science","Create a long explainer on how quantum computing threatens encryption. Cover public key cryptography, harvest now decrypt later attacks, post-quantum standards, national security, banks, and migration challenges.","The encryption protecting today's internet may not survive tomorrow's quantum computers. Here is why institutions are already preparing."
"The Cybersecurity Crisis No One Can Ignore","Cybersecurity / Business","Create a 30 minute overview of the modern cybersecurity crisis. Cover ransomware, supply-chain attacks, AI phishing, hospitals, critical infrastructure, insurance, regulation, and what organizations are doing wrong.","Cyberattacks are no longer just an IT problem. They can shut down hospitals, pipelines, schools, and entire businesses. This is why the risk keeps growing."
"Ransomware: The Business Model Behind Digital Extortion","Cybersecurity / Crime","Create a long-form explainer about ransomware economics. Cover affiliate gangs, crypto payments, double extortion, negotiation, law enforcement, insurance, prevention, and major victim categories.","Ransomware is not random chaos. It is an organized business model with sales funnels, customer service, and global consequences."
"Why Passwords Are Finally Dying","Cybersecurity / Consumer Tech","Create a 25 to 35 minute explainer about passkeys and the future of login security. Cover phishing, biometrics, device trust, Apple, Google, Microsoft, adoption hurdles, and user privacy.","Passwords are weak, reused, and constantly stolen. Passkeys promise a safer future, but replacing decades of habits is harder than it sounds."
"The Dark Side of Smart Homes","Consumer Tech / Privacy","Create a long overview of smart home risks. Cover cameras, microphones, locks, cloud services, data collection, hacks, domestic abuse concerns, platform lock-in, and practical privacy steps.","Smart homes promise convenience, but every connected device creates a new point of control and surveillance. This video explains the tradeoff."
"Why Your Car Is Becoming a Computer on Wheels","Automotive / Tech","Create a 30 minute explainer on software-defined vehicles. Cover EVs, subscriptions, over-the-air updates, data collection, infotainment, repair rights, cybersecurity, and automaker strategy.","Modern cars are turning into rolling software platforms. That changes ownership, privacy, repairs, and the business model of the auto industry."
"EVs, Hybrids, and the Messy Future of Cars","Automotive / Business","Create a long video overview of the car industry's transition. Cover EV adoption, hybrids, charging, battery costs, China, legacy automakers, consumer hesitation, policy, and resale values.","The future of cars is not as simple as gas versus electric. Automakers are juggling batteries, hybrids, regulation, and what buyers actually want."
"China's EV Takeover Explained","Automotive / Geopolitics","Create a 25 to 35 minute explainer on China's rise in electric vehicles. Cover BYD, batteries, industrial policy, exports, tariffs, software, pricing, and global automaker disruption.","China's EV companies are moving fast, selling cheap, and scaring legacy automakers. This is how the balance of power in cars changed."
"The Battery Boom: Lithium, Sodium, and Solid State","Energy / Tech","Create a long overview of battery technology and markets. Cover lithium-ion, sodium-ion, solid-state batteries, mining, recycling, grid storage, EVs, supply chains, and cost curves.","Batteries are becoming one of the most important technologies in the world. This video explains the race to make them cheaper, safer, and more powerful."
"Why Electricity Is the New Oil","Energy / Geopolitics","Create a 30 minute explainer on the rising strategic importance of electricity. Cover AI data centers, EVs, heat pumps, grids, renewables, nuclear, transmission bottlenecks, and energy security.","The modern economy is becoming electrified. Whoever controls cheap, reliable power may control the next industrial age."
"The Nuclear Comeback Explained","Energy / Science","Create a long-form overview of nuclear energy's comeback. Cover small modular reactors, data centers, climate goals, safety, waste, cost overruns, regulation, and public opinion.","Nuclear power is back in the conversation, driven by climate goals and massive electricity demand. But can it overcome its old problems?"
"Fusion Energy: Breakthrough or Always 30 Years Away?","Energy / Science","Create a 25 to 35 minute balanced explainer on fusion energy. Cover recent milestones, private startups, government labs, magnets, lasers, economics, timelines, and skepticism.","Fusion promises nearly limitless clean energy, but the technical and economic hurdles are enormous. This video separates progress from hype."
"The Grid Bottleneck Holding Back the Future","Energy / Infrastructure","Create a long overview of electric grid challenges. Cover transmission lines, permitting, renewables, batteries, data centers, blackouts, utilities, and how grid modernization could work.","Solar panels, EVs, and AI all need electricity. The real bottleneck may be the grid itself."
"Why Water Is Becoming a Geopolitical Weapon","Climate / Geopolitics","Create a 30 minute explainer on global water stress. Cover drought, agriculture, rivers, dams, desalination, migration, conflict risk, data centers, and possible solutions.","Water scarcity is moving from environmental concern to economic and geopolitical risk. This video explains why."
"The Insurance Crisis Nobody Talks About","Finance / Climate","Create a long video overview of rising insurance costs. Cover climate disasters, home insurance, auto insurance, reinsurance, state-backed plans, housing markets, and consumer impact.","Insurance is supposed to price risk. But in many places, risk is getting so expensive that the whole system is straining."
"Why Housing Is So Unaffordable","Finance / Housing","Create a 30 minute explainer on housing affordability. Cover interest rates, zoning, supply shortages, investors, wages, construction costs, insurance, migration, and policy solutions.","Housing has become the defining financial problem for millions of people. This video breaks down how it got so expensive and what might fix it."
